Year,Month,Value,Model,Scenario
2074,9,0.043,ACCESS-CM2,ssp245
2075,3,13.539,ACCESS-CM2,ssp245
2075,9,0.057,ACCESS-CM2,ssp245
2076,3,13.299,ACCESS-CM2,ssp245
2076,9,0.338,ACCESS-CM2,ssp245
2077,3,13.18,ACCESS-CM2,ssp245
2077,9,0.125,ACCESS-CM2,ssp245
2078,3,13.17,ACCESS-CM2,ssp245
2078,9,0.066,ACCESS-CM2,ssp245
2079,3,13.336,ACCESS-CM2,ssp245
2079,9,0.05,ACCESS-CM2,ssp245
2080,3,12.983,ACCESS-CM2,ssp245
2080,9,0.044,ACCESS-CM2,ssp245
2081,3,12.601,ACCESS-CM2,ssp245
2081,9,0.053,ACCESS-CM2,ssp245
2082,3,12.837,ACCESS-CM2,ssp245
2082,9,0.058,ACCESS-CM2,ssp245
2083,3,12.846,ACCESS-CM2,ssp245
2083,9,0.071,ACCESS-CM2,ssp245
2084,3,12.777,ACCESS-CM2,ssp245
2084,9,0.003,ACCESS-CM2,ssp245
2085,3,12.617,ACCESS-CM2,ssp245
2085,9,0.045,ACCESS-CM2,ssp245
2086,3,12.358,ACCESS-CM2,ssp245
2086,9,0.101,ACCESS-CM2,ssp245
2087,3,12.857,ACCESS-CM2,ssp245
2087,9,0.096,ACCESS-CM2,ssp245
2088,3,12.61,ACCESS-CM2,ssp245
2088,9,0.061,ACCESS-CM2,ssp245
2089,3,12.645,ACCESS-CM2,ssp245
2089,9,0.027,ACCESS-CM2,ssp245
2090,3,13.145,ACCESS-CM2,ssp245
2090,9,0.005,ACCESS-CM2,ssp245
2091,3,13.214,ACCESS-CM2,ssp245
2091,9,0.03,ACCESS-CM2,ssp245
2092,3,13.371,ACCESS-CM2,ssp245
2092,9,0.013,ACCESS-CM2,ssp245
2093,3,13.134,ACCESS-CM2,ssp245
2093,9,0.06,ACCESS-CM2,ssp245
2094,3,13.077,ACCESS-CM2,ssp245
2094,9,0.002,ACCESS-CM2,ssp245
2095,3,12.784,ACCESS-CM2,ssp245
2095,9,0.045,ACCESS-CM2,ssp245
2096,3,12.037,ACCESS-CM2,ssp245
2096,9,0.019,ACCESS-CM2,ssp245
2097,3,11.811,ACCESS-CM2,ssp245
2097,9,0.089,ACCESS-CM2,ssp245
2098,3,11.789,ACCESS-CM2,ssp245
2098,9,0.027,ACCESS-CM2,ssp245
2099,3,11.962,ACCESS-CM2,ssp245
2099,9,0.022,ACCESS-CM2,ssp245
2100,3,12.021,ACCESS-CM2,ssp245
2100,9,0.025,ACCESS-CM2,ssp245
1979,3,16.846,ACCESS-CM2,ssp585
1979,9,6.877,ACCESS-CM2,ssp585
1980,3,17.099,ACCESS-CM2,ssp585
1980,9,7.903,ACCESS-CM2,ssp585
1981,3,17.086,ACCESS-CM2,ssp585
1981,9,7.201,ACCESS-CM2,ssp585
1982,3,16.882,ACCESS-CM2,ssp585
1982,9,7.244,ACCESS-CM2,ssp585
1983,3,16.695,ACCESS-CM2,ssp585
1983,9,8.344,ACCESS-CM2,ssp585
1984,3,17.707,ACCESS-CM2,ssp585
1984,9,8.372,ACCESS-CM2,ssp585
1985,3,17.619,ACCESS-CM2,ssp585
1985,9,7.922,ACCESS-CM2,ssp585
1986,3,17.581,ACCESS-CM2,ssp585
1986,9,7.302,ACCESS-CM2,ssp585
1987,3,17.657,ACCESS-CM2,ssp585
1987,9,7.618,ACCESS-CM2,ssp585
1988,3,17.632,ACCESS-CM2,ssp585
1988,9,8.042,ACCESS-CM2,ssp585
1989,3,17.941,ACCESS-CM2,ssp585
1989,9,7.452,ACCESS-CM2,ssp585
1990,3,17.549,ACCESS-CM2,ssp585
1990,9,8.096,ACCESS-CM2,ssp585
1991,3,17.597,ACCESS-CM2,ssp585
1991,9,7.248,ACCESS-CM2,ssp585
1992,3,17.685,ACCESS-CM2,ssp585
1992,9,8.04,ACCESS-CM2,ssp585
1993,3,17.746,ACCESS-CM2,ssp585
1993,9,8.231,ACCESS-CM2,ssp585
1994,3,17.804,ACCESS-CM2,ssp585
1994,9,7.471,ACCESS-CM2,ssp585
1995,3,17.082,ACCESS-CM2,ssp585
1995,9,6.868,ACCESS-CM2,ssp585
1996,3,16.916,ACCESS-CM2,ssp585
1996,9,6.37,ACCESS-CM2,ssp585
1997,3,17.489,ACCESS-CM2,ssp585
1997,9,6.27,ACCESS-CM2,ssp585
1998,3,17.399,ACCESS-CM2,ssp585
1998,9,6.909,ACCESS-CM2,ssp585
1999,3,16.992,ACCESS-CM2,ssp585
1999,9,7.137,ACCESS-CM2,ssp585
2000,3,17.245,ACCESS-CM2,ssp585
2000,9,6.048,ACCESS-CM2,ssp585
2001,3,16.261,ACCESS-CM2,ssp585
2001,9,6.763,ACCESS-CM2,ssp585
2002,3,16.809,ACCESS-CM2,ssp585
2002,9,6.37,ACCESS-CM2,ssp585
2003,3,16.561,ACCESS-CM2,ssp585
2003,9,7.273,ACCESS-CM2,ssp585
2004,3,16.25,ACCESS-CM2,ssp585
2004,9,6.425,ACCESS-CM2,ssp585
2005,3,16.506,ACCESS-CM2,ssp585
2005,9,6.44,ACCESS-CM2,ssp585
2006,3,16.745,ACCESS-CM2,ssp585
2006,9,7.321,ACCESS-CM2,ssp585
2007,3,16.563,ACCESS-CM2,ssp585
2007,9,7.453,ACCESS-CM2,ssp585
2008,3,16.71,ACCESS-CM2,ssp585
2008,9,6.492,ACCESS-CM2,ssp585
2009,3,17.08,ACCESS-CM2,ssp585
2009,9,6.863,ACCESS-CM2,ssp585
2010,3,16.641,ACCESS-CM2,ssp585
2010,9,7.463,ACCESS-CM2,ssp585
2011,3,16.983,ACCESS-CM2,ssp585
2011,9,5.809,ACCESS-CM2,ssp585
2012,3,16.256,ACCESS-CM2,ssp585
2012,9,5.5,ACCESS-CM2,ssp585
2013,3,16.09,ACCESS-CM2,ssp585
2013,9,5.369,ACCESS-CM2,ssp585
2014,3,16.495,ACCESS-CM2,ssp585
2014,9,5.725,ACCESS-CM2,ssp585
2015,3,15.712,ACCESS-CM2,ssp585
2015,9,6.057,ACCESS-CM2,ssp585
2016,3,15.546,ACCESS-CM2,ssp585
2016,9,6.505,ACCESS-CM2,ssp585
2017,3,15.573,ACCESS-CM2,ssp585
2017,9,5.934,ACCESS-CM2,ssp585
2018,3,15.812,ACCESS-CM2,ssp585
2018,9,5.43,ACCESS-CM2,ssp585
2019,3,15.707,ACCESS-CM2,ssp585
2019,9,5.384,ACCESS-CM2,ssp585
2020,3,15.158,ACCESS-CM2,ssp585
2020,9,5.17,ACCESS-CM2,ssp585
2021,3,15.589,ACCESS-CM2,ssp585
2021,9,4.451,ACCESS-CM2,ssp585
2022,3,15.845,ACCESS-CM2,ssp585
2022,9,4.347,ACCESS-CM2,ssp585
2023,3,15.171,ACCESS-CM2,ssp585
2023,9,4.444,ACCESS-CM2,ssp585
2024,3,15.78,ACCESS-CM2,ssp585
2024,9,3.553,ACCESS-CM2,ssp585
2025,3,15.928,ACCESS-CM2,ssp585
2025,9,3.818,ACCESS-CM2,ssp585
2026,3,15.696,ACCESS-CM2,ssp585
2026,9,3.348,ACCESS-CM2,ssp585
2027,3,15.106,ACCESS-CM2,ssp585
2027,9,1.719,ACCESS-CM2,ssp585
2028,3,15.495,ACCESS-CM2,ssp585
2028,9,1.968,ACCESS-CM2,ssp585
2029,3,15.59,ACCESS-CM2,ssp585
2029,9,2.772,ACCESS-CM2,ssp585
2030,3,15.605,ACCESS-CM2,ssp585
2030,9,4.101,ACCESS-CM2,ssp585
2031,3,16.151,ACCESS-CM2,ssp585
2031,9,3.048,ACCESS-CM2,ssp585
2032,3,16.086,ACCESS-CM2,ssp585
2032,9,2.97,ACCESS-CM2,ssp585
2033,3,15.887,ACCESS-CM2,ssp585
2033,9,3.701,ACCESS-CM2,ssp585
2034,3,15.618,ACCESS-CM2,ssp585
2034,9,1.895,ACCESS-CM2,ssp585
2035,3,14.781,ACCESS-CM2,ssp585
2035,9,1.328,ACCESS-CM2,ssp585
2036,3,14.066,ACCESS-CM2,ssp585
2036,9,2.869,ACCESS-CM2,ssp585
2037,3,14.518,ACCESS-CM2,ssp585
2037,9,0.696,ACCESS-CM2,ssp585
2038,3,14.962,ACCESS-CM2,ssp585
2038,9,1.029,ACCESS-CM2,ssp585
2039,3,14.811,ACCESS-CM2,ssp585
2039,9,1.9,ACCESS-CM2,ssp585
2040,3,15.143,ACCESS-CM2,ssp585
2040,9,1.927,ACCESS-CM2,ssp585
2041,3,14.968,ACCESS-CM2,ssp585
2041,9,1.467,ACCESS-CM2,ssp585
2042,3,15.1,ACCESS-CM2,ssp585
2042,9,1.193,ACCESS-CM2,ssp585
2043,3,15.212,ACCESS-CM2,ssp585
2043,9,0.181,ACCESS-CM2,ssp585
2044,3,14.662,ACCESS-CM2,ssp585
2044,9,0.681,ACCESS-CM2,ssp585
2045,3,14.721,ACCESS-CM2,ssp585
2045,9,0.373,ACCESS-CM2,ssp585
2046,3,14.392,ACCESS-CM2,ssp585
2046,9,1.026,ACCESS-CM2,ssp585
2047,3,14.415,ACCESS-CM2,ssp585
2047,9,0.568,ACCESS-CM2,ssp585
2048,3,14.339,ACCESS-CM2,ssp585
2048,9,0.236,ACCESS-CM2,ssp585
2049,3,14.17,ACCESS-CM2,ssp585
2049,9,1.509,ACCESS-CM2,ssp585
2050,3,13.99,ACCESS-CM2,ssp585
2050,9,0.076,ACCESS-CM2,ssp585
2051,3,13.611,ACCESS-CM2,ssp585
2051,9,0.227,ACCESS-CM2,ssp585
2052,3,14.296,ACCESS-CM2,ssp585
2052,9,0.125,ACCESS-CM2,ssp585
2053,3,14.156,ACCESS-CM2,ssp585
2053,9,0.313,ACCESS-CM2,ssp585
